FileName	Line	LNbr	EnjType
Maristany,_Fernando__629n~~John_Keats__2325.xml	del impulsivo amor. Y a solas, y a la orilla	12	B-pb_noun_prep I-pb_noun_prep
Sanchís_Sivera,_José__266n~~Soneto__0856.xml	sólo lo sabe Dios, y en su camino	11	B-pb_noun_prep I-cc_crossclause
Sanchís_Sivera,_José__266n~~Soneto__0856.xml	de llantos y desgracias desde el cielo,	12	I-pb_noun_prep
Valverde_López,_Carlos__330n~~Azul_en_azul__1112.xml	en las aguas azules y despliega	11	B-ex_dobj_verb
Valverde_López,_Carlos__330n~~Azul_en_azul__1112.xml	su pabellón desnudo entre las olas.	12	I-ex_dobj_verb
Sierra,_Justo__514n~~Florencia__1929.xml	sabré sentir tu luz, que retenida	11	B-pb_adj_prep
Sierra,_Justo__514n~~Florencia__1929.xml	por el mármol de Angelo, reparte	12	B-ex_dobj_verb I-pb_adj_prep
Alarcón,_Pedro_Antonio_de__404n~~En_el_muladar__1539.xml	y la sola esperanza, el solo amigo	11	B-pb_noun_prep
Alarcón,_Pedro_Antonio_de__404n~~En_el_muladar__1539.xml	del que llora, padece y necesita...	12	I-pb_noun_prep
Lasso_de_la_Vega_Fiscowich,_Ángel__616n~~El_amor_tardío__2280.xml	por todos los medios de atraerme trata	4	B-pb_verb_cprep
Lasso_de_la_Vega_Fiscowich,_Ángel__616n~~El_amor_tardío__2280.xml	a las redes de Cipris tan temibles.	5	I-pb_verb_cprep
Agustini,_Delmira__321n~~El_vampiro__1056.xml	por la cruel daga rara y exquisita	11	B-pb_adj_prep
Agustini,_Delmira__321n~~El_vampiro__1056.xml	de un mal sin nombre, ¡hasta sangrarlo en llanto!	12	I-pb_adj_prep
Jiménez_Lamar,_Gabriel__462n~~Separación__1765.xml	Callamos. Nos asaltan los instantes supremos	11	B-pb_noun_prep
Jiménez_Lamar,_Gabriel__462n~~Separación__1765.xml	de mi pronta partida para tierras lejanas.	12	I-pb_noun_prep
Ugarte_y_Pages,_Francisco_Javier__342n~~La_mano_de_Dios__1185.xml	¡Náufrago soy, rendido a la fiereza	11	B-pb_noun_prep
Ugarte_y_Pages,_Francisco_Javier__342n~~La_mano_de_Dios__1185.xml	del encrespado, indómito Océano,	12	I-pb_noun_prep
Martínez,_Florentino__421n~~Caricaturas__1660.xml	se habla de Farragut, -que nadie ignora	11	B-ex_dobj_verb
Martínez,_Florentino__421n~~Caricaturas__1660.xml	que es para escribir versos, un maleta-	12	I-ex_dobj_verb
Agustini,_Delmira__321n~~Toque_de_oración__1064.xml	la esquila del pequeño campanario	11	B-cc_crossclause I-ex_dobj_verb
Agustini,_Delmira__321n~~Toque_de_oración__1064.xml	que se queja con un sollozo tierno,	12	I-cc_crossclause
Dicenta,_Joaquín__501n~~Lujuria__1877.xml	ésta y la otra si hay otra; y sólo ansío	11	B-ex_dobj_verb
Dicenta,_Joaquín__501n~~Lujuria__1877.xml	gozar tu cuerpo, que a gozar me llama,	12	I-ex_dobj_verb
Herrera_y_Reissig,_Julio__363n~~Epitalamio_ancestral__1339.xml	Sobre mi corazón los hierofantes	11	B-ex_subj_verb
Herrera_y_Reissig,_Julio__363n~~Epitalamio_ancestral__1339.xml	urgieron tu sandalia, urna de raso,	12	I-ex_subj_verb
Milanés,_María_Luisa__101n~~Tú_no_sabrás_jamás__0336.xml	de leso amor, porque con él suscito	8	B-ex_dobj_verb I-pb_noun_prep
Milanés,_María_Luisa__101n~~Tú_no_sabrás_jamás__0336.xml	ese miedo cerval que engendra el grito	9	B-cc_crossclause I-ex_dobj_verb
Tapia_y_Rivera,_Alejandro__532n~~Al_digno_y_sabio_intendente_don_Alejandro_Ramírez__1975.xml	y ordenó que a cambiar la era precaria	11	B-pb_verb_cprep
Tapia_y_Rivera,_Alejandro__532n~~Al_digno_y_sabio_intendente_don_Alejandro_Ramírez__1975.xml	en rico bienestar, fuese Ramiro...	12	B-ex_dobj_verb I-pb_verb_cprep
Acosta,_Ignacio_María__099n~~Al_plan_de_Matanzas__0334.xml	que miraste pasar?... De luz un rayo	11	B-ex_subj_verb I-cc_crossclause
Acosta,_Ignacio_María__099n~~Al_plan_de_Matanzas__0334.xml	ilumina mi espíritu; y lloroso,	12	I-ex_subj_verb
Rodríguez_Embil,_Luis__225n~~El_poema_del_amor_y_de_la_muerte__0728__V__04.xml	¿He menester siquiera yo que exista	4	B-ex_subj_verb
Rodríguez_Embil,_Luis__225n~~El_poema_del_amor_y_de_la_muerte__0728__V__04.xml	en la carne mi amor, o que revista	5	B-ex_subj_verb I-ex_subj_verb
Rodríguez_Embil,_Luis__225n~~El_poema_del_amor_y_de_la_muerte__0728__V__04.xml	ministerio se cumpla? ¿No es la vista	8	B-ex_subj_verb I-pb_adj_noun
Rodríguez_Embil,_Luis__225n~~El_poema_del_amor_y_de_la_muerte__0728__V__04.xml	el alma de sus ojos en los míos	9	B-ex_subj_verb I-ex_subj_verb
Herrera_y_Reissig,_Julio__363n~~El_despertar__1317.xml	El esquilón repite siempre su misma nota	11	B-pb_noun_prep
Herrera_y_Reissig,_Julio__363n~~El_despertar__1317.xml	de grillo de las cándidas églodas matutinas.	12	I-pb_noun_prep
Valdés,_Gabriel_de_la_Concepción_(Plácido)__345n~~A_una_ingrata__1213.xml	quiero de mirtos adornar con ramas	11	B-ex_dobj_verb
Valdés,_Gabriel_de_la_Concepción_(Plácido)__345n~~A_una_ingrata__1213.xml	un corazón que me idolatre ciego,	12	I-ex_dobj_verb
Sarthou_Carreres,_Vicente__679n~~Mi_amor_aviva,_Jesús__2442.xml	de mi ser a tu Ser pueda inclinarte	4	B-pb_noun_prep I-pb_noun_prep
Sarthou_Carreres,_Vicente__679n~~Mi_amor_aviva,_Jesús__2442.xml	a que enciendas en mí para loarte	5	B-ex_dobj_verb I-pb_noun_prep
Palau_y_Català,_Melchor__314n~~Sonetos__1023__IV__04.xml	a hurto disparando esos flechazos	11	B-cc_crossclause
Palau_y_Català,_Melchor__314n~~Sonetos__1023__IV__04.xml	que abren hondas heridas de cariño.	12	I-cc_crossclause
Plaza,_Antonio__624n~~El_borracho__2305.xml	es intrépido, franco y excelente	11	B-pb_adj_noun
Plaza,_Antonio__624n~~El_borracho__2305.xml	amigo; pero juzgo sin empacho	12	B-cc_crossclause I-pb_adj_noun
Díaz_Romero,_Eugenio__473n~~La_reja__1808.xml	ocultarte al llegar bajo la vieja	8	B-pb_adj_noun I-pb_verb_chain
Díaz_Romero,_Eugenio__473n~~La_reja__1808.xml	encina en que mis sueños se albergaron.	9	I-pb_adj_noun
Díaz_Romero,_Eugenio__473n~~La_reja__1808.xml	adivinando casi el movimiento	11	B-pb_noun_prep I-pb_verb_chain
Díaz_Romero,_Eugenio__473n~~La_reja__1808.xml	de tu imagen esbelta y vencedora.	12	I-pb_noun_prep
Trenor,_Leopoldo__542n~~Primaveral__2008__La_voz_del_monje__06.xml	resuelto contemplé, porque el humano	11	B-pb_adj_noun I-pb_adj_noun
Trenor,_Leopoldo__542n~~Primaveral__2008__La_voz_del_monje__06.xml	entendimiento olvida en su impotencia	12	B-cc_crossclause I-pb_adj_noun
Palacios,_Pedro_B._«Almafuerte»__560n~~Como_los_bueyes__2047.xml	y el honor de salvar al mundo entero	11	B-ex_subj_verb
Palacios,_Pedro_B._«Almafuerte»__560n~~Como_los_bueyes__2047.xml	se lo dejo a los genios y a los reyes.	12	I-ex_subj_verb
Plácido__267n~~A_una_ingrata__0864.xml	quiero de mirtos coronar con ramas	11	B-ex_dobj_verb
Plácido__267n~~A_una_ingrata__0864.xml	un corazón que me idolatre ciego;	12	I-ex_dobj_verb
Rodríguez_Díaz,_Carlos__414n~~La_Puerta_del_Sol__1643.xml	un horizonte ñoño y baladí	11	B-cc_crossclause
Rodríguez_Díaz,_Carlos__414n~~La_Puerta_del_Sol__1643.xml	que jamás se ha teñido de arrebol;	12	I-cc_crossclause
Hine,_Luis__604n~~Salomé__2258.xml	y ordenó le llevaran la cabeza cortada	11	B-pb_noun_prep I-ex_subj_verb
Hine,_Luis__604n~~Salomé__2258.xml	del Profeta importuno que turbó su alegría.	12	I-pb_noun_prep
Alas,_Leopoldo_«Clarín»__522n~~Soneto__1945.xml	débil barquilla en forma de canasta	11	B-pb_adj_noun
Alas,_Leopoldo_«Clarín»__522n~~Soneto__1945.xml	adornada con lindas banderolas,	12	I-pb_adj_noun
Álvarez,_Miguel_de_los_Santos__469n~~Soneto__1780.xml	Mas qué hallará que le parezca hermoso	11	B-ex_subj_verb
Álvarez,_Miguel_de_los_Santos__469n~~Soneto__1780.xml	el que guarda en el alma dolorida,	12	I-ex_subj_verb
Bermúdez,_Anacleto__012n~~El_paseo_por_el_Tínima__0034.xml	una ninfa salió, que blandamente	11	B-pb_verb_adv
Bermúdez,_Anacleto__012n~~El_paseo_por_el_Tínima__0034.xml	enjugar quiso mi angustiado lloro:	12	I-pb_verb_adv
Agustini,_Delmira__321n~~Lo_inefable__1053.xml	¿No habéis sentido nunca el extraño dolor	4	B-pb_noun_prep
Agustini,_Delmira__321n~~Lo_inefable__1053.xml	de un pensamiento inmenso que se arraiga en la vida,	5	I-pb_noun_prep
Herrera_y_Reissig,_Julio__363n~~Panteísmo__1307.xml	de nuestro ser... Un inaudito halago	11	B-pb_noun_prep I-pb_noun_prep
Herrera_y_Reissig,_Julio__363n~~Panteísmo__1307.xml	de consubstanciación y aéreo giro	12	I-pb_noun_prep
Querolt,_Vicente_Wenceslao__263n~~La_fiesta_de_Venus__0853__IV__04.xml	los vívidos cambiantes y el incierto	8	B-pb_adj_noun I-pb_relword
Querolt,_Vicente_Wenceslao__263n~~La_fiesta_de_Venus__0853__IV__04.xml	vaivén de sus llanuras solitarias,	9	I-pb_adj_noun
Querolt,_Vicente_Wenceslao__263n~~La_fiesta_de_Venus__0853__IV__04.xml	cuando, en sus frescas ráfagas, la brisa	11	B-ex_subj_verb
Querolt,_Vicente_Wenceslao__263n~~La_fiesta_de_Venus__0853__IV__04.xml	trajo a su oído el rumoroso eco	12	B-pb_noun_prep I-ex_subj_verb
Matamoros,_Mercedes__361n~~Los_alfileres__1296.xml	¡Por Júpiter! ¡Qué triunfo! Yo creía	11	B-ex_dobj_verb
Matamoros,_Mercedes__361n~~Los_alfileres__1296.xml	que todos los placeres conocía,	12	I-ex_dobj_verb
Rodríguez_Embil,_Luis__225n~~Búscate_a_ti_mismo...__0730.xml	la visión, y te haga pensar que eres quien	4	B-ex_subj_verb I-ex_dobj_verb
Rodríguez_Embil,_Luis__225n~~Búscate_a_ti_mismo...__0730.xml	habla, actúa, crea; tan sólo al negarte	5	B-pb_verb_adv I-ex_subj_verb
Wen_Maury,_José__494n~~Los_doce_meses__1853__Noviembre__11.xml	porque la mente de dolor transida	11	B-ex_subj_verb
Wen_Maury,_José__494n~~Los_doce_meses__1853__Noviembre__11.xml	sufre por cosas que creyera inciertas...	12	I-ex_subj_verb
Palacios,_Pedro_B._«Almafuerte»__560n~~Avanti!__2049.xml	y en cualquier infeliz se me figura	11	B-ex_subj_verb
Palacios,_Pedro_B._«Almafuerte»__560n~~Avanti!__2049.xml	que se mellan los garfios de la suerte...	12	I-ex_subj_verb
Riba_Palacio,_Vicente__121n~~Al_viento__0373.xml	pero hanme dicho ya mis desventuras	11	B-cc_crossclause
Riba_Palacio,_Vicente__121n~~Al_viento__0373.xml	que eres viento, no más, cuando te quejas,	12	I-cc_crossclause
Zaldumbide_Gangotena,_Julio__605n~~En_tempestad_sin_tregua_de_bonanza__2261.xml	¡Ay! Si has de ser de piedra a la agonía	11	B-pb_noun_prep
Zaldumbide_Gangotena,_Julio__605n~~En_tempestad_sin_tregua_de_bonanza__2261.xml	del pobre corazón que te ama tanto,	12	I-pb_noun_prep
Palacios,_Pedro_B._«Almafuerte»__560n~~No_te_des_por_vencido...__2048.xml	o como el robledal, cuya grandeza	11	B-ex_subj_verb
Palacios,_Pedro_B._«Almafuerte»__560n~~No_te_des_por_vencido...__2048.xml	necesita del agua y no la implora...	12	I-ex_subj_verb
Palau_y_Català,_Melchor__314n~~Sonetos__1023__III__03.xml	sólo mostraste con delirio insano	11	B-cc_crossclause
Palau_y_Català,_Melchor__314n~~Sonetos__1023__III__03.xml	que no pudo en tu pecho hallar abrigo	12	I-cc_crossclause
Zorrilla,_José__149n~~Roma_y_Cristo__0434__V__05.xml	de olímpico esplendor, volvió indolente	11	B-pb_adj_prep I-pb_noun_prep
Zorrilla,_José__149n~~Roma_y_Cristo__0434__V__05.xml	a alojar en palacios sus legiones	12	I-pb_adj_prep
Urbach,_Carlos_Póo__031n~~Budoir__0082.xml	y voluptuoso olor de resinosas	8	B-pb_adj_noun I-pb_noun_prep
Urbach,_Carlos_Póo__031n~~Budoir__0082.xml	maderas esculpidas. Grave escudo	9	B-pb_adj_noun I-pb_adj_noun
Urbach,_Carlos_Póo__031n~~Budoir__0082.xml	ahoga las pisadas. En la incierta	11	B-pb_adj_noun I-pb_adj_noun
Urbach,_Carlos_Póo__031n~~Budoir__0082.xml	penumbra de la tarde, yace mudo	12	B-ex_subj_verb I-pb_adj_noun
Gronlier,_Enrique__339n~~A_la_señora_doña_Gertrudis_Gómez_de_Avellaneda_en___1135.xml	y un torrente de célica armonía	11	B-ex_subj_verb
Gronlier,_Enrique__339n~~A_la_señora_doña_Gertrudis_Gómez_de_Avellaneda_en___1135.xml	desprende la matrona de Almendares	12	B-ex_subj_verb I-ex_subj_verb
López_Velarde,_Ramón__290n~~A_la_traición_de_una_hermosa__0962.xml	mi señor Jesucristo. Yo perdono	11	B-ex_dobj_verb I-ex_subj_verb
López_Velarde,_Ramón__290n~~A_la_traición_de_una_hermosa__0962.xml	tu flaqueza, y esclavo de tu hechizo	12	B-pb_noun_prep I-ex_dobj_verb
Valle,_Margarita_del__590n~~Exvotos...__2195.xml	y se arrastra, como una Mesalina	11	B-cc_crossclause I-cc_crossclause
Valle,_Margarita_del__590n~~Exvotos...__2195.xml	que desciende a la paz de la cabaña,	12	I-cc_crossclause
Lles,_Francisco__090n~~Soy__0306.xml	brusca de mis ideales, germinó la apoteosis	8	B-pb_noun_prep I-pb_adj_noun
Lles,_Francisco__090n~~Soy__0306.xml	del desencantamiento que dio a mi mal protervo,	9	I-pb_noun_prep
Garaycochea,_Miguel_W.__387n~~Sonetos__1481__II__02.xml	alumbra nuestra dicha, nos inflama	11	B-pb_verb_cprep
Garaycochea,_Miguel_W.__387n~~Sonetos__1481__II__02.xml	del entusiasmo patrio que en él arde,	12	I-pb_verb_cprep
Herrera,_Darío__609n~~Campestre__2267.xml	hacia la casa va con lento paso	11	B-ex_dobj_verb I-pb_noun_prep
Herrera,_Darío__609n~~Campestre__2267.xml	el labrador y sus rendidos bueyes.	12	I-ex_dobj_verb
Sanchís_Sivera,_José__266n~~A_la_memoria_de_don_Pedro_Calderón_de_la_Barca__0857.xml	contempla airoso el regio monumento	11	B-cc_crossclause
Sanchís_Sivera,_José__266n~~A_la_memoria_de_don_Pedro_Calderón_de_la_Barca__0857.xml	que el mundo sin cesar a ti levanta	12	B-pb_verb_chain I-cc_crossclause
Althaus,_Clemente__373n~~Deseo__1374.xml	con vosotras! Mas ¡ay! que solamente	11	B-ex_subj_verb
Althaus,_Clemente__373n~~Deseo__1374.xml	me es dado vuestra rápida carrera	12	I-ex_subj_verb
Bermúdez_y_Ortega,_Federico__157n~~Símbolo__0481.xml	la luna, y al verter sus argentadas	11	B-pb_adj_noun I-ex_subj_verb
Bermúdez_y_Ortega,_Federico__157n~~Símbolo__0481.xml	claridades silentes en las ruinas,	12	I-pb_adj_noun
Estévez,_Josefa__558n~~Soneto__2044.xml	y el mundo con sus dichas e ilusiones	11	B-ex_subj_verb
Estévez,_Josefa__558n~~Soneto__2044.xml	calmar no puede su ansiedad inquieta.	12	I-ex_subj_verb
Pichardo_y_Peralta,_Manuel_Serafín__227n~~Soy_cubano__0734.xml	una divina Caridad del Cobre	11	B-cc_crossclause
Pichardo_y_Peralta,_Manuel_Serafín__227n~~Soy_cubano__0734.xml	que me resguarda del dolor y murria;	12	I-cc_crossclause
Carrasquilla_Mallarino,_Eduardo__470n~~Rumbos_supremos__1782.xml	sigue alumbrando en la negrura los	11	B-pb_relword
Carrasquilla_Mallarino,_Eduardo__470n~~Rumbos_supremos__1782.xml	rumbos supremos... Y la altiva mente	12	B-ex_subj_verb I-pb_relword
Cuervo,_Guillermo__189n~~Junio__0642.xml	rumor de aguas lejanas, y el acento	4	B-pb_noun_prep
Cuervo,_Guillermo__189n~~Junio__0642.xml	de las aves, idioma y sentimiento	5	B-cc_crossclause I-pb_noun_prep
Coronado,_Carolina__434n~~Una_corona,_no,_dadme_una_rama__1686.xml	que me dicen con lenguas españolas	11	B-ex_subj_verb
Coronado,_Carolina__434n~~Una_corona,_no,_dadme_una_rama__1686.xml	vuestro afán, vuestra fe, vuestro deseo,	12	I-ex_subj_verb
Valdés,_Gabriel_de_la_Concepción_(Plácido)__345n~~Tristes_memorias__1205.xml	de las célicas dichas, y de cuantas	11	B-pb_relword
Valdés,_Gabriel_de_la_Concepción_(Plácido)__345n~~Tristes_memorias__1205.xml	gracias me prodigó, y ora las flores,	12	I-pb_relword
Mendoza,_Carlos__637n~~Diciembre__2356.xml	alternan con los agrios lagrimones	11	B-cc_crossclause
Mendoza,_Carlos__637n~~Diciembre__2356.xml	que vierten mil vivientes esqueletos;	12	I-cc_crossclause
Pompa,_Elías_Calisto__656n~~Estudia,_trabaja,_descansa__2404__Descansa__03.xml	el amigo bordón del peregrino	4	B-ex_subj_verb
Pompa,_Elías_Calisto__656n~~Estudia,_trabaja,_descansa__2404__Descansa__03.xml	maneja sin compás, y el aire sano	5	B-ex_subj_verb I-ex_subj_verb
Rodríguez_Embil,_Luis__225n~~El_poema_del_amor_y_de_la_muerte__0728__II__02.xml	tempestad naufragar a los perdidos	4	B-pb_adj_noun I-pb_adj_noun
Rodríguez_Embil,_Luis__225n~~El_poema_del_amor_y_de_la_muerte__0728__II__02.xml	navegantes que, ciegos, y atraídos	5	B-pb_adj_prep I-pb_adj_noun
Rivera,_Domingo__233n~~Yo,_a_mi_cuerpo__0745.xml	¿Por qué no te he de amar? ¿Qué seré el día	11	B-cc_crossclause
Rivera,_Domingo__233n~~Yo,_a_mi_cuerpo__0745.xml	que tú dejes de ser? ¡Profundo arcano!	12	I-cc_crossclause
Querolt,_Vicente_Wenceslao__263n~~La_fiesta_de_Venus__0853__V__05.xml	cuerdas de seda pérsica, al ligero	4	B-pb_adj_noun I-pb_adj_noun
Querolt,_Vicente_Wenceslao__263n~~La_fiesta_de_Venus__0853__V__05.xml	soplo del aire henchidos; con la popa	5	B-pb_noun_prep I-pb_adj_noun
Ruiz_Estébez,_Francisco__690n~~La_trampa_del_cazador__2472.xml	llevó púrpura manto aquel enero	11	B-ex_dobj_verb I-ex_subj_verb
Ruiz_Estébez,_Francisco__690n~~La_trampa_del_cazador__2472.xml	y la luna una insignia ensangrentada.	12	I-ex_dobj_verb
Rodríguez_Cáceres,_Ricardo__359n~~En_el_sepulcro__1264.xml	la ninfa de la fuente, el sol de fuego	11	B-cc_crossclause
Rodríguez_Cáceres,_Ricardo__359n~~En_el_sepulcro__1264.xml	que en sus tallos y vástagos nutrían,	12	I-cc_crossclause
Bolio,_Dolores__461n~~Mi_Serafín_y_yo__1762.xml	y redondas mejillas; tu cabeza	11	B-ex_subj_verb I-ex_dobj_verb
Bolio,_Dolores__461n~~Mi_Serafín_y_yo__1762.xml	forjaron mis ideas florecidas;	12	I-ex_subj_verb
Zorrilla,_José__149n~~Roma_y_Cristo__0434__I__01.xml	y alzó hasta la deidad desconocida	11	B-pb_adj_noun
Zorrilla,_José__149n~~Roma_y_Cristo__0434__I__01.xml	templo y altar; y en este laberinto,	12	I-pb_adj_noun
López_Velarde,_Ramón__290n~~Clor_de_cuento__0967.xml	se fue para otros climas, y pacíficamente	11	B-pb_verb_adv I-ex_subj_verb
López_Velarde,_Ramón__290n~~Clor_de_cuento__0967.xml	celebraré contigo mis regios esponsales,	12	I-pb_verb_adv
López_García,_Bernardo__237n~~A_Napoleón__0772.xml	¡Sólo cubre una tumba en Santa Elena	11	B-ex_dobj_verb
López_García,_Bernardo__237n~~A_Napoleón__0772.xml	tu corona imperial despedazada...!	12	I-ex_dobj_verb
Estrada,_Ángel_de__416n~~Soneto__1647.xml	en él, vertiginoso, es una sombra	11	B-pb_adj_noun
Estrada,_Ángel_de__416n~~Soneto__1647.xml	rauda volando cual visión de un mito	12	B-cc_crossclause I-pb_adj_noun
Santos_Chocano,_José__592n~~El_soneto_roto__2232.xml	Y así es como el soneto por el dolor partido	8	B-ex_subj_verb
Santos_Chocano,_José__592n~~El_soneto_roto__2232.xml	hace pensar que, en este momento que me inspira	9	B-pb_verb_chain I-ex_subj_verb
Oña,_Inocencio_de__623n~~El_ideal__2301.xml	hacer no puede de su amor alarde	11	B-ex_dobj_verb
Oña,_Inocencio_de__623n~~El_ideal__2301.xml	este maldito corazón de hielo...	12	I-ex_dobj_verb
Castaing,_Rodolfo__308n~~Sus_caprichos__1006.xml	y al mirar en mi pecho palpitante	11	B-ex_dobj_verb
Castaing,_Rodolfo__308n~~Sus_caprichos__1006.xml	el rastro de la garra maldecida,	12	I-ex_dobj_verb
Ugarte_y_Pages,_Francisco_Javier__342n~~Ni_Dios_ni_amo__1151.xml	Difama sin piedad la redentora	11	B-pb_adj_noun
Ugarte_y_Pages,_Francisco_Javier__342n~~Ni_Dios_ni_amo__1151.xml	escuela del dolor y el sacrificio...	12	I-pb_adj_noun
Agustini,_Delmira__321n~~Luz_púrpura_con_tu_retrato__1076.xml	y me abro en flor. Entonces, soberanos	8	B-pb_noun_prep
Agustini,_Delmira__321n~~Luz_púrpura_con_tu_retrato__1076.xml	de la sombra y la luz, tus ojos graves	9	B-ex_subj_verb I-pb_noun_prep
Agustini,_Delmira__321n~~Luz_púrpura_con_tu_retrato__1076.xml	Y te dejo morir. Queda en mis manos	11	B-ex_subj_verb
Agustini,_Delmira__321n~~Luz_púrpura_con_tu_retrato__1076.xml	una gran mancha lívida i sombría.	12	I-ex_subj_verb
Valverde_López,_Carlos__330n~~Amarillo__1115.xml	y en su espalda un carcaj, destino ciego	11	B-pb_noun_prep
Valverde_López,_Carlos__330n~~Amarillo__1115.xml	de las flechas del astro en vendaval.	12	I-pb_noun_prep
Fray_Cayetano_Rodríguez__170n~~III__0539.xml	que su guadaña respetar debiera	4	B-ex_subj_verb
Fray_Cayetano_Rodríguez__170n~~III__0539.xml	la negra envidia. ¡Cielos, quién pudiera	5	B-ex_dobj_verb I-ex_subj_verb
Calvo_Rodríguez,_Carmelo__148n~~A_ti__0428.xml	que sólo pido a los divinos cielos	11	B-ex_dobj_verb I-ex_dobj_verb
Calvo_Rodríguez,_Carmelo__148n~~A_ti__0428.xml	que al romper de esta vida el lazo fuerte	12	B-ex_dobj_verb I-ex_dobj_verb
Céspedes,_Darío__608n~~Ayala__2266.xml	lanzaron en la escena y la tribuna	11	B-ex_dobj_verb I-ex_subj_verb
Céspedes,_Darío__608n~~Ayala__2266.xml	la luz de su preclaro entendimiento;	12	I-ex_dobj_verb
Teurbe_Tolón_y_de_la_Guardia,_Miguel__166n~~Poesía_dedicada_a_la_bandera__0530.xml	clavando este estandarte en nuestra tierra	11	B-cc_crossclause
Teurbe_Tolón_y_de_la_Guardia,_Miguel__166n~~Poesía_dedicada_a_la_bandera__0530.xml	que luzca siempre y que por siempre vibre,	12	I-cc_crossclause
Ugarte_y_Pages,_Francisco_Javier__342n~~En_Sierra_Morena__1171.xml	los mundos que creaste, todavía	11	B-pb_verb_adv
Ugarte_y_Pages,_Francisco_Javier__342n~~En_Sierra_Morena__1171.xml	pudiera honrarte más y enaltecerte	12	B-pb_verb_adv I-pb_verb_adv
Yanguas,_Aurelio__315n~~A...__1035.xml	si lo sabes muy bien que no comprendo	11	B-ex_dobj_verb
Yanguas,_Aurelio__315n~~A...__1035.xml	el innoble mentir de los villanos,	12	I-ex_dobj_verb
